year,month,value
1991,1,34.03510284
1991,2,34.17738724
1991,3,34.22873306
1991,4,34.22577667
1991,5,34.26962662
1991,6,34.28369141
1991,7,34.27031708
1991,8,34.30866623
1991,9,34.27224731
1991,10,34.10914612
1991,11,34.01493073
1991,12,33.89778519
1992,1,34.03510284
1992,2,34.17738724
1992,3,34.22873306
1992,4,34.22577667
1992,5,34.26962662
1992,6,34.28369141
1992,7,34.27031708
1992,8,34.30866623
1992,9,34.27224731
1992,10,34.10914612
1992,11,34.01493073
1992,12,33.89778519
1993,1,34.03510284
1993,2,34.17738724
1993,3,34.22873306
1993,4,34.22577667
1993,5,34.26962662
1993,6,34.28369141
1993,7,34.27031708
1993,8,34.30866623
1993,9,34.27224731
1993,10,34.10914612
1993,11,34.01493073
1993,12,33.89778519
1994,1,33.59997559
1994,2,33.658638
1994,3,33.88850021
1994,4,33.69305038
1994,5,33.63783264
1994,6,33.71754456
1994,7,33.73474884
1994,8,33.84863663
1994,9,33.97430038
1994,10,33.97280502
1994,11,34.02967834
1994,12,34.01016617
1995,1,33.8312149
1995,2,33.59519196
1995,3,33.73513412
1995,4,33.54699326
1995,5,33.50559235
1995,6,33.36201859
1995,7,33.42502213
1995,8,33.47072983
1995,9,33.57783508
1995,10,33.65922928
1995,11,33.84951019
1995,12,33.91909409
1996,1,33.89339066
1996,2,34.00012207
1996,3,34.0649147
1996,4,34.13711929
1996,5,34.11873627
1996,6,34.03769302
1996,7,34.01594925
1996,8,34.05588531
1996,9,34.03133011
1996,10,34.09740448
1996,11,34.1283226
1996,12,33.95823288
1997,1,33.90837097
1997,2,33.9315567
1997,3,33.87866211
1997,4,33.93441772
1997,5,34.01461411
1997,6,34.05524445
1997,7,33.89349365
1997,8,33.88487244
1997,9,33.99922943
1997,10,34.0630722
1997,11,34.13584518
1997,12,34.16733551
1998,1,34.09864426
1998,2,34.11320877
1998,3,34.05569077
1998,4,34.02495193
1998,5,34.0048027
1998,6,34.04520035
1998,7,34.10194397
1998,8,34.16366959
1998,9,34.09835815
1998,10,34.07688904
1998,11,33.7979126
1998,12,33.83863449
1999,1,33.95677185
1999,2,33.9222374
1999,3,33.57247543
1999,4,33.76971817
1999,5,33.78264618
1999,6,33.76535416
1999,7,33.78912354
1999,8,33.87605286
1999,9,33.98737717
1999,10,34.0982666
1999,11,34.10119247
1999,12,34.0382309
2000,1,33.82469559
2000,2,33.93315506
2000,3,33.76912689
2000,4,33.70808792
2000,5,33.72618484
2000,6,33.8119545
2000,7,33.76086044
2000,8,33.72042084
2000,9,33.78920364
2000,10,33.86749268
2000,11,33.89374924
2000,12,33.93636703
2001,1,33.86354065
2001,2,33.6280098
2001,3,33.45728683
2001,4,33.20751953
2001,5,33.16411972
2001,6,33.30596542
2001,7,33.43336105
2001,8,33.59800339
2001,9,33.63177109
2001,10,33.61291504
2001,11,33.68806839
2001,12,33.5359726
2002,1,33.51272964
2002,2,33.48214722
2002,3,33.33031464
2002,4,33.35798645
2002,5,33.5458107
2002,6,33.7075386
2002,7,33.82643127
2002,8,33.81051636
2002,9,33.89489746
2002,10,33.9300499
2002,11,33.70886612
2002,12,33.74666977
2003,1,33.43157578
2003,2,33.32706833
2003,3,33.54818344
2003,4,33.63260269
2003,5,33.78284073
2003,6,33.8603363
2003,7,33.91962433
2003,8,34.05791473
2003,9,34.23373032
2003,10,34.30402756
2003,11,34.31523895
2003,12,34.2169075
2004,1,33.93339157
2004,2,33.73314667
2004,3,33.75580215
2004,4,33.83773422
2004,5,33.85136032
2004,6,33.90872955
2004,7,33.94543076
2004,8,33.93529129
2004,9,34.03391647
2004,10,34.14590836
2004,11,34.12244797
2004,12,34.05579376
2005,1,34.12356949
2005,2,34.01002884
2005,3,33.97642899
2005,4,33.88002014
2005,5,33.86997223
2005,6,33.90979767
2005,7,33.88289642
2005,8,33.94938278
2005,9,33.96038437
2005,10,34.01538086
2005,11,34.134758
2005,12,34.12889862
2006,1,34.08085251
2006,2,34.10144424
2006,3,33.98751068
2006,4,33.7386055
2006,5,33.78433609
2006,6,33.76623535
2006,7,33.92495346
2006,8,34.06190872
2006,9,34.03528976
2006,10,34.05191803
2006,11,34.12975311
2006,12,34.17272186
2007,1,34.15790176
2007,2,34.07720947
2007,3,33.97577667
2007,4,33.96805573
2007,5,34.00613785
2007,6,33.90481567
2007,7,33.83797836
2007,8,33.71976471
2007,9,33.74966812
2007,10,33.68618393
2007,11,33.72105789
2007,12,33.56658173
2008,1,33.73688507
2008,2,33.87597656
2008,3,33.861763
2008,4,33.64220428
2008,5,33.67543793
2008,6,33.70875168
2008,7,33.89048767
2008,8,33.99121857
2008,9,34.07050705
2008,10,34.07233047
2008,11,34.01875305
2008,12,33.88898849
2009,1,33.85286331
2009,2,34.02393723
2009,3,33.93728256
2009,4,33.76734543
2009,5,33.92619705
2009,6,33.93210602
2009,7,33.98246002
2009,8,34.03930664
2009,9,34.18598938
2009,10,34.21039581
2009,11,34.24460983
2009,12,34.11381912
2010,1,33.92617035
2010,2,33.97938156
2010,3,33.79838562
2010,4,33.7132225
2010,5,33.69129944
2010,6,33.6163826
2010,7,33.70638657
2010,8,33.71920776
2010,9,33.6145401
2010,10,33.67527008
2010,11,33.69871902
2010,12,33.57967377
2011,1,33.36258698
2011,2,33.59116745
2011,3,33.73878098
2011,4,33.84534454
2011,5,33.92700577
2011,6,34.02513885
2011,7,34.0197258
2011,8,34.10179138
2011,9,34.24666977
2011,10,34.28435516
2011,11,34.27913284
2011,12,34.26934433
2012,1,33.93061447
2012,2,34.07781219
2012,3,34.11362076
2012,4,34.13116837
2012,5,34.0589447
2012,6,34.0552597
2012,7,34.12777328
2012,8,34.17350769
2012,9,34.2065239
2012,10,34.13845062
2012,11,34.09526062
2012,12,33.94028091
2013,1,33.73493958
2013,2,33.65112686
2013,3,33.64539719
2013,4,33.60507584
2013,5,33.67703629
2013,6,33.53787994
2013,7,33.58231354
2013,8,33.90142059
2013,9,33.93712997
2013,10,33.94895935
2013,11,33.85710144
2013,12,33.83602524
2014,1,33.87217331
2014,2,34.10965347
2014,3,34.05726624
2014,4,34.02768326
2014,5,34.01904678
2014,6,33.95305252
2014,7,33.96963501
2014,8,33.98146439
2014,9,33.912323
2014,10,33.96401596
2014,11,33.99917221
2014,12,33.99377441
2015,1,33.90838242
2015,2,33.87868118
2015,3,33.82120514
2015,4,33.8143425
2015,5,33.84262466
2015,6,33.90811157
2015,7,33.99456406
2015,8,34.21383286
2015,9,34.19638062
2015,10,34.14949799
2015,11,34.12865829
2015,12,34.11592484
2016,1,34.20467758
2016,2,34.0900383
2016,3,33.72941208
2016,4,33.72870255
2016,5,33.7182312
2016,6,33.54338455
2016,7,33.63026047
2016,8,33.89799118
2016,9,34.00292206
2016,10,34.07542419
2016,11,34.05097961
2016,12,34.00718307
2017,1,33.94907761
2017,2,34.1309433
2017,3,33.98443222
2017,4,33.95826721
2017,5,33.94105911
2017,6,33.98548889
2017,7,34.01952362
