year,month,value
1991,1,6.385879517
1991,2,5.981704712
1991,3,5.603764057
1991,4,7.543740273
1991,5,10.60502529
1991,6,13.73739529
1991,7,15.75478458
1991,8,16.44046402
1991,9,15.61574364
1991,10,13.35267258
1991,11,9.839722633
1991,12,7.294311523
1992,1,6.385879517
1992,2,5.981704712
1992,3,5.603764057
1992,4,7.543740273
1992,5,10.60502529
1992,6,13.73739529
1992,7,15.75478458
1992,8,16.44046402
1992,9,15.61574364
1992,10,13.35267258
1992,11,9.839722633
1992,12,7.294311523
1993,1,6.385879517
1993,2,5.981704712
1993,3,5.603764057
1993,4,7.543740273
1993,5,10.60502529
1993,6,13.73739529
1993,7,15.75478458
1993,8,16.44046402
1993,9,15.61574364
1993,10,13.35267258
1993,11,9.839722633
1993,12,7.294311523
1994,1,6.60320425
1994,2,5.486123562
1994,3,5.99257803
1994,4,7.706233501
1994,5,10.54414749
1994,6,13.00293541
1994,7,16.75789642
1994,8,18.08860397
1994,9,16.07743454
1994,10,13.57947636
1994,11,12.08684158
1994,12,10.05277252
1995,1,7.223448753
1995,2,7.17828846
1995,3,6.934340477
1995,4,8.240451813
1995,5,10.69902134
1995,6,12.93535614
1995,7,16.17929649
1995,8,18.61814308
1995,9,17.08536339
1995,10,15.25822067
1995,11,12.26163864
1995,12,8.277604103
1996,1,5.804676533
1996,2,3.779598951
1996,3,4.175791264
1996,4,5.987259865
1996,5,8.73630619
1996,6,12.41162968
1996,7,14.87774849
1996,8,16.87973022
1996,9,15.77191734
1996,10,13.98153877
1996,11,11.11568165
1996,12,7.483251095
1997,1,3.661114693
1997,2,4.438995838
1997,3,6.436635971
1997,4,7.863610744
1997,5,10.45736313
1997,6,13.59303665
1997,7,15.99092865
1997,8,18.47639847
1997,9,17.24071884
1997,10,14.60591984
1997,11,11.49415779
1997,12,9.095589638
1998,1,7.061088085
1998,2,5.821831226
1998,3,6.576701641
1998,4,8.393473625
1998,5,11.42447186
1998,6,14.27668762
1998,7,16.07639885
1998,8,17.33044815
1998,9,16.24438095
1998,10,13.61369419
1998,11,9.918030739
1998,12,7.124547482
1999,1,7.275781631
1999,2,6.030108452
1999,3,6.560558796
1999,4,8.654565811
1999,5,11.53365231
1999,6,14.24168873
1999,7,16.81454086
1999,8,17.92321014
1999,9,17.9216671
1999,10,14.60969353
1999,11,11.28736401
1999,12,8.158677101
2000,1,6.622049332
2000,2,6.317548275
2000,3,6.815462112
2000,4,7.988927364
2000,5,11.00415993
2000,6,13.74850941
2000,7,15.15805817
2000,8,17.1733284
2000,9,16.98301888
2000,10,14.53575897
2000,11,11.08377266
2000,12,9.179487228
2001,1,6.744553566
2001,2,6.365307808
2001,3,6.093138218
2001,4,7.578098297
2001,5,10.31885815
2001,6,13.33006859
2001,7,16.32126236
2001,8,17.87323952
2001,9,16.24932861
2001,10,15.09077644
2001,11,11.93304825
2001,12,8.800110817
2002,1,6.355193138
2002,2,7.257407665
2002,3,7.467924595
2002,4,8.910368919
2002,5,11.23072147
2002,6,14.33546066
2002,7,16.12896729
2002,8,18.37880516
2002,9,17.72232437
2002,10,14.53009129
2002,11,11.75981236
2002,12,8.745095253
2003,1,6.840929985
2003,2,5.426308155
2003,3,6.215277195
2003,4,7.894813538
2003,5,11.00235558
2003,6,14.68846989
2003,7,17.30481911
2003,8,19.1770153
2003,9,17.88521385
2003,10,14.19785786
2003,11,11.05360603
2003,12,8.906866074
2004,1,6.387229919
2004,2,5.769944668
2004,3,5.517742634
2004,4,8.077411652
2004,5,11.16190529
2004,6,14.38641453
2004,7,16.47555733
2004,8,18.57494354
2004,9,17.00948334
2004,10,14.00698566
2004,11,11.25733757
2004,12,8.370977402
2005,1,7.038896084
2005,2,5.686311722
2005,3,4.974205494
2005,4,7.389231205
2005,5,10.21583748
2005,6,13.50750732
2005,7,16.5129776
2005,8,17.07502747
2005,9,17.51451302
2005,10,15.65204716
2005,11,12.8251152
2005,12,8.515385628
2006,1,5.977519035
2006,2,4.971371651
2006,3,4.426142693
2006,4,6.865778923
2006,5,10.30703831
2006,6,13.32185459
2006,7,17.34173965
2006,8,18.20238304
2006,9,17.8771801
2006,10,16.31001472
2006,11,12.59336853
2006,12,10.06019402
2007,1,8.391619682
2007,2,7.214568615
2007,3,7.909268856
2007,4,9.50959301
2007,5,12.15142822
2007,6,14.85380745
2007,7,16.36691475
2007,8,17.54525757
2007,9,16.72221184
2007,10,14.60803699
2007,11,11.24376869
2007,12,8.33343792
2008,1,7.129430294
2008,2,6.833724976
2008,3,6.808523178
2008,4,7.893885136
2008,5,11.45468044
2008,6,14.34829521
2008,7,16.53909111
2008,8,17.6887722
2008,9,16.62816048
2008,10,13.855793
2008,11,10.73410511
2008,12,7.528897762
2009,1,5.392636299
2009,2,4.575044632
2009,3,5.777458668
2009,4,8.34236908
2009,5,11.3346405
2009,6,14.35212421
2009,7,17.0764637
2009,8,18.26461029
2009,9,16.9552002
2009,10,14.60375881
2009,11,12.26865101
2009,12,9.012817383
2010,1,5.372740746
2010,2,4.077969551
2010,3,4.656576157
2010,4,7.299186707
2010,5,9.982901573
2010,6,13.3102417
2010,7,16.70035172
2010,8,17.56511497
2010,9,16.19769859
2010,10,14.14595604
2010,11,10.95875645
2010,12,6.234472752
2011,1,4.850758553
2011,2,5.212569714
2011,3,5.719484806
2011,4,8.516165733
2011,5,11.69620323
2011,6,14.40077305
2011,7,16.29531479
2011,8,17.034729
2011,9,16.39685249
2011,10,14.7840538
2011,11,12.47284698
2011,12,8.956021309
2012,1,7.107910156
2012,2,4.885202408
2012,3,6.041357994
2012,4,7.905747414
2012,5,10.38956928
2012,6,13.44557667
2012,7,16.08586693
2012,8,17.88313675
2012,9,16.8398571
2012,10,13.83625507
2012,11,10.73892975
2012,12,7.71693182
2013,1,6.452045918
2013,2,4.956857681
2013,3,4.09115696
2013,4,5.071022034
2013,5,8.924549103
2013,6,12.23742867
2013,7,15.7944355
2013,8,17.85222816
2013,9,16.95451355
2013,10,14.62140274
2013,11,11.34130669
2013,12,8.236865997
2014,1,7.501192093
2014,2,7.083074093
2014,3,7.48934269
2014,4,9.366195679
2014,5,12.06761074
2014,6,15.17433834
2014,7,17.61735153
2014,8,18.3293972
2014,9,17.48326683
2014,10,15.80524063
2014,11,12.94299889
2014,12,9.177445412
2015,1,6.847165108
2015,2,5.633166313
2015,3,5.956305027
2015,4,7.725296974
2015,5,10.67340088
2015,6,13.45378494
2015,7,16.48058891
2015,8,17.63381195
2015,9,16.48361969
2015,10,14.36576366
2015,11,12.22180843
2015,12,9.843605995
2016,1,8.268261909
2016,2,7.108678818
2016,3,6.519729614
2016,4,8.266379356
2016,5,10.77215004
2016,6,14.13968086
2016,7,16.86832619
2016,8,18.35692787
2016,9,18.82243156
2016,10,15.55530071
2016,11,11.6198473
2016,12,8.741760254
2017,1,6.497248173
2017,2,5.634370327
2017,3,6.778354168
2017,4,8.955688477
2017,5,11.34241295
2017,6,15.18756676
2017,7,17.6715126
2017,8,18.36107254
2017,9,17.21121597
2017,10,14.97606564
2017,11,11.64225578
2017,12,7.936380386
2018,1,6.465556622
2018,2,5.544045925
2018,3,4.281391621
2018,4,6.936476707
2018,5,10.75844955
2018,6,14.64610577
2018,7,17.81598282
2018,8,19.29794312
2018,9,17.63835335
2018,10,14.36976528
2018,11,11.70774078
2018,12,9.151117325
2019,1,7.088950157
2019,2,6.134572029
2019,3,7.063904762
2019,4,8.814171791
2019,5,11.314291
2019,6,14.60702801
2019,7,17.37417221
2019,8,18.71311378
2019,9,17.51757622
2019,10,15.01301765
2019,11,11.59742928
2019,12,8.873211861
2020,1,7.66330719
2020,2,6.973277092
2020,3,7.012852669
2020,4,8.388180733
2020,5,11.25397587
2020,6,14.40930748
2020,7,16.63770294
2020,8,18.92661095
2020,9,17.61056709
2020,10,14.37946129
2020,11,11.97118473
2020,12,9.332306862
2021,1,6.851955414
2021,2,5.12219429
2021,3,5.721496582
2021,4,7.120631695
2021,5,9.748437881
2021,6,14.06567669
2021,7,16.54363823
2021,8,17.49016571
2021,9,17.22283363
2021,10,15.13332558
2021,11,12.32955837
2021,12,8.892771721
2022,1,7.685877323
2022,2,6.775377274
2022,3,7.286589146
2022,4,8.617494583
2022,5,11.62366772
2022,6,14.74354172
2022,7,17.64821625
2022,8,19.56302643
2022,9,18.6157074
2022,10,15.57048893
2022,11,13.3444252
2022,12,9.513949394
2023,1,7.970965862
2023,2,6.909663677
2023,3,6.785986423
2023,4,8.636415482
2023,5,11.21925545
2023,6,14.62217236
2023,7,17.09449577
2023,8,17.91104507
2023,9,18.47374344
2023,10,16.05213928
2023,11,12.23676395
2023,12,9.063727379
2024,1,7.370977879
2024,2,7.0357728
2024,3,7.933332443
2024,4,9.558338165
2024,5,12.16653347
2024,6,14.61301517
2024,7,16.78367996
2024,8,18.63516998
2024,9,17.79010963
2024,10,15.01714325
2024,11,12.47899246
2024,12,9.22262764
2025,1,7.550758287
2025,2,6.437279826
2025,3,6.493417919
2025,4,8.228714152
2025,5,11.03574653
2025,6,14.45061245
2025,7,17.87212509
2025,8,19.09813833
2025,9,18.05989064
2025,10,15.98821605
2025,11,12.82880089
2025,12,9.866394799
2026,1,7.732211851
2026,2,6.313644627
2026,3,6.247849659
2026,4,7.800208676
2026,5,10.63364949
2026,6,14.21538683
2026,7,17.52969586
2026,8,18.75643445
2026,9,17.86954051
2026,10,15.63231205
2026,11,12.52951375
2026,12,9.675563204
2027,1,7.673128376
2027,2,6.418994869
2027,3,6.251524773
2027,4,7.9452782
2027,5,11.0710238
2027,6,14.72032424
2027,7,17.7525512
2027,8,18.79279598
2027,9,18.20202392
2027,10,16.00564422
2027,11,12.86546364
2027,12,9.997963519
2028,1,7.940117471
2028,2,6.851508632
2028,3,6.677580674
2028,4,8.016609292
2028,5,10.93429117
2028,6,15.02940563
2028,7,17.80803332
