Name,PO4_y_copernicus_2
1991,1
February,1
March,1
April,1
May,1
June,1
July,1
August,1
September,1
October,1
November,1
December,1
1992,1
February,1
March,1
April,1
May,1
June,1
July,1
August,1
September,1
October,1
November,1
December,1
1993,1
February,1
March,1
April,1
May,1
June,1
July,1
August,1
September,1
October,1
November,1
December,0.9788876
1994,0.9788876
February,0.9788876
March,0.9788876
April,0.9788876
May,0.9788876
June,0.9788876
July,0.9788876
August,0.9788876
September,0.9788876
October,0.9788876
November,0.9788876
December,0.9681769
1995,0.9681769
February,0.9681769
March,0.9681769
April,0.9681769
May,0.9681769
June,0.9681769
July,0.9681769
August,0.9681769
September,0.9681769
October,0.9681769
November,0.9681769
December,0.9890085
1996,0.9890085
February,0.9890085
March,0.9890085
April,0.9890085
May,0.9890085
June,0.9890085
July,0.9890085
August,0.9890085
September,0.9890085
October,0.9890085
November,0.9890085
December,1.00926
1997,1.00926
February,1.00926
March,1.00926
April,1.00926
May,1.00926
June,1.00926
July,1.00926
August,1.00926
September,1.00926
October,1.00926
November,1.00926
December,0.99164
1998,0.99164
February,0.99164
March,0.99164
April,0.99164
May,0.99164
June,0.99164
July,0.99164
August,0.99164
September,0.99164
October,0.99164
November,0.99164
December,0.8843337
1999,0.8843337
February,0.8843337
March,0.8843337
April,0.8843337
May,0.8843337
June,0.8843337
July,0.8843337
August,0.8843337
September,0.8843337
October,0.8843337
November,0.8843337
December,0.8810542
2000,0.8810542
February,0.8810542
March,0.8810542
April,0.8810542
May,0.8810542
June,0.8810542
July,0.8810542
August,0.8810542
September,0.8810542
October,0.8810542
November,0.8810542
December,0.8853294
2001,0.8853294
February,0.8853294
March,0.8853294
April,0.8853294
May,0.8853294
June,0.8853294
July,0.8853294
August,0.8853294
September,0.8853294
October,0.8853294
November,0.8853294
December,0.8848072
2002,0.8848072
February,0.8848072
March,0.8848072
April,0.8848072
May,0.8848072
June,0.8848072
July,0.8848072
August,0.8848072
September,0.8848072
October,0.8848072
November,0.8848072
December,0.9149577
2003,0.9149577
February,0.9149577
March,0.9149577
April,0.9149577
May,0.9149577
June,0.9149577
July,0.9149577
August,0.9149577
September,0.9149577
October,0.9149577
November,0.9149577
December,0.916223
2004,0.916223
February,0.916223
March,0.916223
April,0.916223
May,0.916223
June,0.916223
July,0.916223
August,0.916223
September,0.916223
October,0.916223
November,0.916223
December,0.8938265
2005,0.8938265
February,0.8938265
March,0.8938265
April,0.8938265
May,0.8938265
June,0.8938265
July,0.8938265
August,0.8938265
September,0.8938265
October,0.8938265
November,0.8938265
December,0.8933206
2006,0.8933206
February,0.8933206
March,0.8933206
April,0.8933206
May,0.8933206
June,0.8933206
July,0.8933206
August,0.8933206
September,0.8933206
October,0.8933206
November,0.8933206
December,0.8956622
2007,0.8956622
February,0.8956622
March,0.8956622
April,0.8956622
May,0.8956622
June,0.8956622
July,0.8956622
August,0.8956622
September,0.8956622
October,0.8956622
November,0.8956622
December,0.9146138
2008,0.9146138
February,0.9146138
March,0.9146138
April,0.9146138
May,0.9146138
June,0.9146138
July,0.9146138
August,0.9146138
September,0.9146138
October,0.9146138
November,0.9146138
December,0.8969745
2009,0.8969745
February,0.8969745
March,0.8969745
April,0.8969745
May,0.8969745
June,0.8969745
July,0.8969745
August,0.8969745
September,0.8969745
October,0.8969745
November,0.8969745
December,0.9110959
2010,0.9110959
February,0.9110959
March,0.9110959
April,0.9110959
May,0.9110959
June,0.9110959
July,0.9110959
August,0.9110959
September,0.9110959
October,0.9110959
November,0.9110959
December,0.9117182
2011,0.9117182
February,0.9117182
March,0.9117182
April,0.9117182
May,0.9117182
June,0.9117182
July,0.9117182
August,0.9117182
September,0.9117182
October,0.9117182
November,0.9117182
December,0.8909656
2012,0.8909656
February,0.8909656
March,0.8909656
April,0.8909656
May,0.8909656
June,0.8909656
July,0.8909656
August,0.8909656
September,0.8909656
October,0.8909656
November,0.8909656
December,0.8801501
2013,0.8801501
February,0.8801501
March,0.8801501
April,0.8801501
May,0.8801501
June,0.8801501
July,0.8801501
August,0.8801501
September,0.8801501
October,0.8801501
November,0.8801501
December,0.8796985
2014,0.8796985
February,0.8796985
March,0.8796985
April,0.8796985
May,0.8796985
June,0.8796985
July,0.8796985
August,0.8796985
September,0.8796985
October,0.8796985
November,0.8796985
December,0.8806191
2015,0.8806191
February,0.8806191
March,0.8806191
April,0.8806191
May,0.8806191
June,0.8806191
July,0.8806191
August,0.8806191
September,0.8806191
October,0.8806191
November,0.8806191
December,0.8601913
2016,0.8601913
February,0.8601913
March,0.8601913
April,0.8601913
May,0.8601913
June,0.8601913
July,0.8601913
August,0.8601913
September,0.8601913
October,0.8601913
November,0.8601913
December,0.870266
2017,0.870266
February,0.870266
March,0.870266
April,0.870266
May,0.870266
June,0.870266
July,0.870266
August,0.870266
September,0.870266
October,0.870266
November,0.870266
December,0.8611609
2018,0.8611609
February,0.8611609
March,0.8611609
April,0.8611609
May,0.8611609
June,0.8611609
July,0.8611609
August,0.8611609
September,0.8611609
October,0.8611609
November,0.8611609
December,0.864141
2019,0.864141
February,0.864141
March,0.864141
April,0.864141
May,0.864141
June,0.864141
July,0.864141
August,0.864141
September,0.864141
October,0.864141
November,0.864141
December,0.8674917
2020,0.8674917
February,0.8674917
March,0.8674917
April,0.8674917
May,0.8674917
June,0.8674917
July,0.8674917
August,0.8674917
September,0.8674917
October,0.8674917
November,0.8674917
December,0.8695605
2021,0.8695605
February,0.8695605
March,0.8695605
April,0.8695605
May,0.8695605
June,0.8695605
July,0.8695605
August,0.8695605
