"","year","val"
"1",1991,34.174450875
"2",1992,34.174450875
"3",1993,34.174450875
"4",1994,33.8138230633333
"5",1995,33.6231304816667
"6",1996,34.0449250533333
"7",1997,33.9888928725
"8",1998,34.0349922183333
"9",1999,33.8882872275
"10",2000,33.8117748891667
"11",2001,33.5105444591667
"12",2002,33.6544965108333
"13",2003,33.885837555
"14",2004,33.9382460908333
"15",2005,33.9867932008333
"16",2006,33.9862941091667
"17",2007,33.8642609908333
"18",2008,33.869441985
"19",2009,34.0180260333333
"20",2010,33.7265532808333
"21",2011,33.9742536541667
"22",2012,34.0874347675
"23",2013,33.7428671525
"24",2014,33.9882717133333
"25",2015,33.9976838441667
"26",2016,33.8899339033333
"27",2017,34.0135183341667
"28",2018,33.8712552375
"29",2019,33.8594757708333
"30",2020,33.922737755
"31",2021,33.6129007341667
"32",2022,33.5859324141667
"33",2023,33.7995891558333
"34",2024,33.8411156341667
"35",2025,33.8022229441667
"36",2026,33.7161900808333
"37",2027,33.6854045141667
"38",2028,33.732908625
"39",2029,33.8114022533333
"40",2030,33.6746785858333
"41",2031,33.5926070441667
"42",2032,33.6003682775
"43",2033,33.6142724391667
"44",2034,33.7339255841667
"45",2035,33.7345844375
"46",2036,33.7096037991667
"47",2037,33.6171371441667
"48",2038,33.5628408508333
"49",2039,33.5629261375
"50",2040,33.67146652
"51",2041,33.6401356716667
"52",2042,33.6026542866667
"53",2043,33.606530655
"54",2044,33.617536375
"55",2045,33.5951878633333
"56",2046,33.5618044308333
"57",2047,33.6164739583333
"58",2048,33.5976411891667
"59",2049,33.5747272691667
"60",2050,33.5853616575
"61",2051,33.489473135
"62",2052,33.4183009083333
"63",2053,33.35921074
"64",2054,33.3559300708333
"65",2055,33.4606487983333
"66",2056,33.4185497633333
"67",2057,33.3292550616667
"68",2058,33.218748835
"69",2059,33.2296902708333
"70",2060,33.26407392
"71",2061,33.2657195475
"72",2062,33.2382029933333
"73",2063,33.2499488866667
"74",2064,33.1295158283333
"75",2065,33.0230875875
"76",2066,33.0255180191667
"77",2067,33.0476141466667
"78",2068,33.0716382633333
"79",2069,32.9481402575
"80",2070,32.9418514041667
"81",2071,32.9619631233333
"82",2072,32.8848739758333
"83",2073,32.9757882283333
"84",2074,32.9739567091667
"85",2075,32.9439596791667
"86",2076,32.9371818208333
"87",2077,32.8634225316667
"88",2078,32.8839128958333
"89",2079,33.0007521725
"90",2080,32.879367885
"91",2081,32.7947581033333
"92",2082,32.8081413758333
"93",2083,32.7182088908333
"94",2084,32.6763297208333
"95",2085,32.5884555175
"96",2086,32.7400454725
"97",2087,32.7081574075
"98",2088,32.6117506666667
"99",2089,32.739735635
"100",2090,32.66547439
"101",2091,32.6045256283333
"102",2092,32.5468886683333
"103",2093,32.5380328708333
"104",2094,32.6139920375
"105",2095,32.4865931183333
"106",2096,32.5543976166667
"107",2097,32.5009960383333
"108",2098,32.37698867
"109",2099,32.2731269883333
