Index,Temp,variable,Harbour porpoise,Seals,Sharks,Rays,Cod (adult),Whiting (adult),Other gadoids,Demersal fish,Herring (adult),Herring (adult) (Ru),Juvenile Herring (Ru),Sprat,Mackerel,Mackerel (Ru),Horse mackerel,Sandeels,Plaice (adult),Dab,Other flatfish,Sole (adult),Sea Bass,Sea Bass (Ru),Pelagic fish,Squid & cuttlefish,Carnivorous plankton,Temora longicornis,Herbivorous plankton (copepods),Gelatinous zooplankton,Large crabs + shrimps ,Blue mussels (aquaculture),Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Crangon (below 5cm),Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna
1,0,0.016666667,0.094682956,0.010181297,0.002789323,7.38E-05,0.048844792,9.56E-11,1.43E-05,0.002627186,0.012594148,0.004845604,4.70E-05,1.13E-11,5.91E-06,2.21E-09,0.001371886,0.001236643,0.005387272,9.03E-05,4.65E-07,4.80E-05,0,0,0.000422914,0.000499724,0.999684169,0.015649681,0.000210245,0.086281755,3.49E-06,0.055350285,0.005998521,0.001126457,0.000120126,1.12E-11,0.01019403,0.052605558
2,0.033333333,0.05,0.098105706,0.01064568,0.002890209,7.77E-05,0.051289495,1.07E-10,1.50E-05,0.002737977,0.01324576,0.005039567,4.97E-05,1.30E-11,6.26E-06,2.47E-09,0.001422542,0.001284662,0.005582894,9.45E-05,4.95E-07,5.02E-05,0,0,0.000439686,0.000518728,0.999756206,0.016269046,0.000220227,0.08978501,3.71E-06,0.057501821,0.006219853,0.00117324,0.00012546,1.23E-11,0.010611345,0.055303913
3,0.066666667,0.083333333,0.101638296,0.011131007,0.002994734,8.19E-05,0.05384963,1.19E-10,1.58E-05,0.002853427,0.013930611,0.005241253,5.25E-05,1.49E-11,6.64E-06,2.75E-09,0.001475065,0.001334543,0.005785577,9.90E-05,5.26E-07,5.26E-05,0,0,0.000457122,0.000538454,0.999811815,0.016912502,0.000230682,0.093415965,3.94E-06,0.0597317,0.006449299,0.001221963,0.000131031,1.36E-11,0.011045554,0.058132186
4,0.1,0.116666667,0.105283239,0.011638199,0.003103027,8.63E-05,0.056529941,1.33E-10,1.66E-05,0.00297373,0.014650346,0.005450966,5.55E-05,1.71E-11,7.04E-06,3.08E-09,0.001529525,0.001386357,0.005995574,0.000103621,5.59E-07,5.51E-05,0,0,0.00047525,0.000558929,0.999854742,0.017580953,0.000241634,0.09717808,4.18E-06,0.062042361,0.006687151,0.001272707,0.000136849,1.50E-11,0.011497323,0.061095743
5,0.133333333,0.15,0.10904303,0.012168217,0.003215223,9.09E-05,0.059335295,1.48E-10,1.75E-05,0.00309909,0.015406685,0.005669023,5.86E-05,1.96E-11,7.46E-06,3.44E-09,0.001585992,0.001440181,0.006213146,0.000108489,5.95E-07,5.77E-05,0,0,0.000494095,0.000580183,0.999887878,0.018275332,0.000253105,0.101074814,4.43E-06,0.064436281,0.006933715,0.001325556,0.000142925,1.66E-11,0.011967347,0.064200084
6,0.166666667,0.183333333,0.112920142,0.012722062,0.003331463,9.58E-05,0.062270679,1.66E-10,1.85E-05,0.003229717,0.016201429,0.005895751,6.20E-05,2.25E-11,7.91E-06,3.84E-09,0.001644541,0.001496092,0.006438562,0.000113587,6.32E-07,6.05E-05,0,0,0.000513688,0.000602244,0.999913455,0.018996607,0.000265121,0.105109611,4.70E-06,0.066915982,0.007189304,0.001380596,0.000149271,1.83E-11,0.012456344,0.067450827
7,0.2,0.216666667,0.116917018,0.013300776,0.00345189,0.000100887,0.065341192,1.85E-10,1.94E-05,0.003365832,0.017036459,0.00613149,6.55E-05,2.58E-11,8.39E-06,4.29E-09,0.001705247,0.001554169,0.006672101,0.000118923,6.72E-07,6.33E-05,0,0,0.000534058,0.000625144,0.999933199,0.019745775,0.000277707,0.109285891,4.99E-06,0.069484022,0.007454244,0.001437918,0.000155899,2.02E-11,0.012965059,0.070853709
8,0.233333333,0.25,0.121036064,0.013905445,0.003576655,0.000106293,0.068552041,2.06E-10,2.05E-05,0.003507663,0.017913744,0.006376596,6.92E-05,2.96E-11,8.90E-06,4.79E-09,0.001768191,0.001614498,0.006914052,0.000124511,7.15E-07,6.63E-05,0,0,0.000555235,0.000648914,0.999948438,0.020523871,0.00029089,0.11360704,5.30E-06,0.072142995,0.007728872,0.001497617,0.000162821,2.23E-11,0.013494267,0.074414565
9,0.266666667,0.283333333,0.125279638,0.014537197,0.003705912,0.000111989,0.071908532,2.30E-10,2.16E-05,0.003655448,0.018835339,0.006631434,7.32E-05,3.40E-11,9.43E-06,5.35E-09,0.001833453,0.001677164,0.007164714,0.000130361,7.60E-07,6.94E-05,0,0,0.00057725,0.000673587,0.999960201,0.02133196,0.000304699,0.118076398,5.62E-06,0.074895531,0.008013535,0.001559791,0.000170051,2.47E-11,0.014044768,0.078139328
10,0.3,0.316666667,0.129650047,0.015197209,0.003839823,0.000117991,0.075416059,2.57E-10,2.27E-05,0.003809436,0.019803391,0.006896385,7.73E-05,3.90E-11,1.00E-05,5.98E-09,0.001901119,0.001742258,0.007424396,0.000136486,8.08E-07,7.27E-05,0,0,0.000600139,0.000699198,0.999969281,0.022171147,0.000319163,0.122697243,5.97E-06,0.077744288,0.008308595,0.001624541,0.000177601,2.72E-11,0.014617394,0.082034007
